gs_name,link,source
HALLMARK_ADIPOGENESIS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ADIPOGENESIS.html,MSigDB
HALLMARK_ALLOGRAFT_REJECTION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ALLOGRAFT_REJECTION.html,MSigDB
HALLMARK_ANDROGEN_RESPONSE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ANDROGEN_RESPONSE.html,MSigDB
HALLMARK_ANGIOGENESIS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ANGIOGENESIS.html,MSigDB
HALLMARK_APICAL_JUNCTION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_JUNCTION.html,MSigDB
HALLMARK_APICAL_SURFACE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APICAL_SURFACE.html,MSigDB
HALLMARK_APOPTOSIS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_APOPTOSIS.html,MSigDB
HALLMARK_BILE_ACID_METABOLISM,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_BILE_ACID_METABOLISM.html,MSigDB
HALLMARK_CHOLESTEROL_HOMEOSTASIS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_CHOLESTEROL_HOMEOSTASIS.html,MSigDB
HALLMARK_COAGULATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COAGULATION.html,MSigDB
HALLMARK_COMPLEMENT,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_COMPLEMENT.html,MSigDB
HALLMARK_DNA_REPAIR,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_DNA_REPAIR.html,MSigDB
HALLMARK_E2F_TARGETS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_E2F_TARGETS.html,MSigDB
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION.html,MSigDB
HALLMARK_ESTROGEN_RESPONSE_EARLY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ESTROGEN_RESPONSE_EARLY.html,MSigDB
HALLMARK_ESTROGEN_RESPONSE_LATE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ESTROGEN_RESPONSE_LATE.html,MSigDB
HALLMARK_FATTY_ACID_METABOLISM,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_FATTY_ACID_METABOLISM.html,MSigDB
HALLMARK_G2M_CHECKPOINT,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_G2M_CHECKPOINT.html,MSigDB
HALLMARK_GLYCOLYSIS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_GLYCOLYSIS.html,MSigDB
HALLMARK_HEDGEHOG_SIGNALING,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_HEDGEHOG_SIGNALING.html,MSigDB
HALLMARK_HEME_METABOLISM,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_HEME_METABOLISM.html,MSigDB
HALLMARK_HYPOXIA,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_HYPOXIA.html,MSigDB
HALLMARK_IL2_STAT5_SIGNALING,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_IL2_STAT5_SIGNALING.html,MSigDB
HALLMARK_IL6_JAK_STAT3_SIGNALING,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_IL6_JAK_STAT3_SIGNALING.html,MSigDB
HALLMARK_INFLAMMATORY_RESPONSE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_INFLAMMATORY_RESPONSE.html,MSigDB
HALLMARK_INTERFERON_ALPHA_RESPONSE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_INTERFERON_ALPHA_RESPONSE.html,MSigDB
HALLMARK_INTERFERON_GAMMA_RESPONSE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_INTERFERON_GAMMA_RESPONSE.html,MSigDB
HALLMARK_KRAS_SIGNALING_DN,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_KRAS_SIGNALING_DN.html,MSigDB
HALLMARK_KRAS_SIGNALING_UP,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_KRAS_SIGNALING_UP.html,MSigDB
HALLMARK_MITOTIC_SPINDLE,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_MITOTIC_SPINDLE.html,MSigDB
HALLMARK_MTORC1_SIGNALING,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_MTORC1_SIGNALING.html,MSigDB
HALLMARK_MYC_TARGETS_V1,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_MYC_TARGETS_V1.html,MSigDB
HALLMARK_MYC_TARGETS_V2,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_MYC_TARGETS_V2.html,MSigDB
HALLMARK_MYOGENESIS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_MYOGENESIS.html,MSigDB
HALLMARK_NOTCH_SIGNALING,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_NOTCH_SIGNALING.html,MSigDB
HALLMARK_OXIDATIVE_PHOSPHORYLATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_OXIDATIVE_PHOSPHORYLATION.html,MSigDB
HALLMARK_P53_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_P53_PATHWAY.html,MSigDB
HALLMARK_PANCREAS_BETA_CELLS,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_PANCREAS_BETA_CELLS.html,MSigDB
