SOURCE,PATHWAY,link
ACSN2,ACTIVATING_CHECKPOINTS,https://www.google.com/search?q=ACSN2+pathway+ACTIVATING%20CHECKPOINTS
ACSN2,ADHERENS_JUNCTIONS,https://www.google.com/search?q=ACSN2+pathway+ADHERENS%20JUNCTIONS
ACSN2,ANTIOXIDANT_RESPONSE,https://www.google.com/search?q=ACSN2+pathway+ANTIOXIDANT%20RESPONSE
ACSN2,APOPTOSIS,https://www.google.com/search?q=ACSN2+pathway+APOPTOSIS
ACSN2,A_NHEJ,https://www.google.com/search?q=ACSN2+pathway+A%20NHEJ
ACSN2,BER,https://www.google.com/search?q=ACSN2+pathway+BER
ACSN2,CAF,https://www.google.com/search?q=ACSN2+pathway+CAF
ACSN2,CAF_INHIBITION_ANTITUMOR,https://www.google.com/search?q=ACSN2+pathway+CAF%20INHIBITION%20ANTITUMOR
ACSN2,CASPASES,https://www.google.com/search?q=ACSN2+pathway+CASPASES
ACSN2,CELL_CELL_ADHESIONS,https://www.google.com/search?q=ACSN2+pathway+CELL%20CELL%20ADHESIONS
ACSN2,CELL_MATRIX_ADHESIONS,https://www.google.com/search?q=ACSN2+pathway+CELL%20MATRIX%20ADHESIONS
ACSN2,CORE,https://www.google.com/search?q=ACSN2+pathway+CORE
ACSN2,CORE_SIGNALING_PATHWAYS,https://www.google.com/search?q=ACSN2+pathway+CORE%20SIGNALING%20PATHWAYS
ACSN2,CYTOKINES_CHEMOKINES_PRODUCTION,https://www.google.com/search?q=ACSN2+pathway+CYTOKINES%20CHEMOKINES%20PRODUCTION
ACSN2,CYTOSKELETON_POLARITY,https://www.google.com/search?q=ACSN2+pathway+CYTOSKELETON%20POLARITY
ACSN2,C_NHEJ,https://www.google.com/search?q=ACSN2+pathway+C%20NHEJ
ACSN2,DANGER_SIGNAL_PATHWAYS,https://www.google.com/search?q=ACSN2+pathway+DANGER%20SIGNAL%20PATHWAYS
ACSN2,DEATH_RECEPTOR_PATHWAYS,https://www.google.com/search?q=ACSN2+pathway+DEATH%20RECEPTOR%20PATHWAYS
ACSN2,DEPENDANCE_RECEPTORS,https://www.google.com/search?q=ACSN2+pathway+DEPENDANCE%20RECEPTORS
