SOURCE,PATHWAY,link
KEGG,Ribosome biogenesis in eukaryotes,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Ribosome biogenesis in eukaryotes
KEGG,Natural killer cell mediated cytotoxicity,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Natural killer cell mediated cytotoxicity
KEGG,Osteoclast differentiation,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Osteoclast differentiation
KEGG,Hematopoietic cell lineage,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Hematopoietic cell lineage
KEGG,IL-17 signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=IL-17 signaling pathway
KEGG,Th1 and Th2 cell differentiation,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Th1 and Th2 cell differentiation
KEGG,Th17 cell differentiation,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Th17 cell differentiation
KEGG,Circadian entrainment,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Circadian entrainment
KEGG,RIG-I-like receptor signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=RIG-I-like receptor signaling pathway
KEGG,Thermogenesis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Thermogenesis
KEGG,HIF-1 signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=HIF-1 signaling pathway
KEGG,Base excision repair,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Base excision repair
KEGG,Chemokine signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Chemokine signaling pathway
KEGG,Viral protein interaction with cytokine and cytokine receptor,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Viral protein interaction with cytokine and cytokine receptor
KEGG,Other types of O-glycan biosynthesis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Other types of O-glycan biosynthesis
KEGG,Gastric acid secretion,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Gastric acid secretion
KEGG,Pentose phosphate pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Pentose phosphate pathway
KEGG,RNA polymerase,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=RNA polymerase
KEGG,Cytokine-cytokine receptor interaction,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Cytokine-cytokine receptor interaction
