ENSRNOG00000046319	Vom2r3	Gene Expression
ENSRNOG00000047964	LOC100909608	Gene Expression
ENSRNOG00000050370	Vom2r6	Gene Expression
ENSRNOG00000032365	Vom2r5	Gene Expression
ENSRNOG00000040300	Raet1c	Gene Expression
ENSRNOG00000061316	AABR07000121.1	Gene Expression
ENSRNOG00000050129	AABR07000137.1	Gene Expression
ENSRNOG00000040316	AABR07000145.1	Gene Expression
ENSRNOG00000023659	Raet1d	Gene Expression
ENSRNOG00000029897	AABR07000156.1	Gene Expression
ENSRNOG00000042852	LOC679782	Gene Expression
ENSRNOG00000055877	AABR07000159.4	Gene Expression
ENSRNOG00000014303	Lrp11	Gene Expression
ENSRNOG00000014330	Pcmt1	Gene Expression
ENSRNOG00000049505	Nup43	Gene Expression
ENSRNOG00000014916	Lats1	Gene Expression
ENSRNOG00000014996	Katna1	Gene Expression
ENSRNOG00000015239	Ginm1	Gene Expression
ENSRNOG00000053710	AABR07000159.2	Gene Expression
ENSRNOG00000015552	Ppil4	Gene Expression
ENSRNOG00000016041	Zc3h12d	Gene Expression
ENSRNOG00000016054	Tab2	Gene Expression
ENSRNOG00000016381	Ust	Gene Expression
ENSRNOG00000059137	AABR07000173.1	Gene Expression
ENSRNOG00000013160	Sash1	Gene Expression
ENSRNOG00000023549	Samd5	Gene Expression
ENSRNOG00000031859	RGD1562402	Gene Expression
ENSRNOG00000013351	Stxbp5	Gene Expression
ENSRNOG00000053182	AABR07000200.1	Gene Expression
ENSRNOG00000042741	Adgb	Gene Expression
ENSRNOG00000014258	Rab32	Gene Expression
ENSRNOG00000014290	Grm1	Gene Expression
ENSRNOG00000014450	Shprh	Gene Expression
ENSRNOG00000014852	Fbxo30	Gene Expression
ENSRNOG00000040242	Epm2a	Gene Expression
ENSRNOG00000011058	Utrn	Gene Expression
ENSRNOG00000014902	Stx11	Gene Expression
ENSRNOG00000014908	Sf3b5	Gene Expression
ENSRNOG00000025587	Plagl1	Gene Expression
ENSRNOG00000042705	Zc2hc1b	Gene Expression
ENSRNOG00000043188	AABR07000261.1	Gene Expression
ENSRNOG00000015217	Ltv1	Gene Expression
ENSRNOG00000015473	Phactr2	Gene Expression
ENSRNOG00000015551	Fuca2	Gene Expression
ENSRNOG00000015660	Pex3	Gene Expression
ENSRNOG00000046983	Adat2	Gene Expression
ENSRNOG00000016624	AABR07000276.1	Gene Expression
ENSRNOG00000010753	Aig1	Gene Expression
ENSRNOG00000011015	Hivep2	Gene Expression
ENSRNOG00000011411	Adgrg6	Gene Expression
ENSRNOG00000011540	Vta1	Gene Expression
ENSRNOG00000012092	Gje1	Gene Expression
ENSRNOG00000012103	Nmbr	Gene Expression
ENSRNOG00000059032	AABR07000325.1	Gene Expression
ENSRNOG00000047193	LOC100909435	Gene Expression
