gene_symbol,ncbi_gene,ensembl_gene,db_gene_symbol,db_ncbi_gene,db_ensembl_gene,source_gene,gs_id,gs_name,gs_collection,gs_subcollection,gs_collection_name,gs_description,gs_source_species,gs_pmid,gs_geoid,gs_exact_source,gs_url,db_version,db_target_species,ortholog_taxon_id,ortholog_sources,num_ortholog_sources
Abca1,11303,ENSMUSG00000015243,ABCA1,19,ENSG00000165029,ABCA1,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Abcb8,74610,ENSMUSG00000028973,ABCB8,11194,ENSG00000197150,ABCB8,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Acaa2,52538,ENSMUSG00000036880,ACAA2,10449,ENSG00000167315,ACAA2,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Acadl,11363,ENSMUSG00000026003,ACADL,33,ENSG00000115361,ACADL,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Acadm,11364,ENSMUSG00000062908,ACADM,34,ENSG00000117054,ACADM,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Acads,11409,ENSMUSG00000029545,ACADS,35,ENSG00000122971,ACADS,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Acly,104112,ENSMUSG00000020917,ACLY,47,ENSG00000131473,ACLY,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Aco2,11429,ENSMUSG00000022477,ACO2,50,ENSG00000100412,ACO2,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Acox1,11430,ENSMUSG00000020777,ACOX1,51,ENSG00000161533,ACOX1,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Adcy6,11512,ENSMUSG00000022994,ADCY6,112,ENSG00000174233,ADCY6,M5905,HALLMARK_ADIPOGENESIS,H,"",Hallmark,Genes up-regulated during adipocyte differentiation (adipogenesis).,HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
